identifier,title
HR 6475,"To amend the International Financial Institutions Act to instruct certain United States Executive Directors to vote against any assistance to the People's Republic of China unless certain certifications are met, and for other purposes."
HR 280,PDMPs Help Patients Act of 2021
S 5082,Sanction Xi Jinping for Xinjiang Atrocities Act
S 5081,Empowering and Enforcing Environmental Justice Act of 2022
HR 6483,Improved Transparency of Foreign Drug Manufacturing Act of 2022
HR 5930,Protecting our Veterans’ Memories Act
HR 1079,Desert Locust Control Act
HR 5764,Gun Violence Prevention Through Financial Intelligence Act
HR 6504,Native Pacific Islanders of America Equity Act
HR 1873,Advancing Education on Biosimilars Act of 2021
HR 4535,Helping Americans Succeed by Measuring Outcomes Act
HR 6494,SCAM PAC Act
HR 4605,Flood Insurance Rate Map Interagency Technology Act of 2021
HR 4608,Growth and Opportunities Act of 2021
S 2886,CAPE Act
HR 4600,Responsible Borrowing Act of 2021
S 3323,Veterans Justice Outreach Improvement Act of 2021
HR 5541,Primary and Virtual Care Affordability Act
HR 3874,"To amend the Internal Revenue Code of 1986 to provide that governmental pension plans may include certain firefighters, emergency medical technicians, and paramedics, and for other purposes."
S 3327,Opioid QuOTA Act of 2021
HR 4597,Clean Water SRF Parity Act
S 37,Preventing Future Pandemics Act of 2021
S 2684,Consumer Financial Choice and Capital Markets Protection Act of 2021
HR 1812,One Federal Decision Act of 2021
S 817,Wall Street Tax Act of 2021
HR 6169,"To direct the Secretary of Defense to establish a framework relating to risks to the defense supply chain, and for other purposes."
S 2641,Medicare Access to Radiology Care Act of 2021
HR 4511,FACTS Act
HR 4652,Training for Realtime Writers Act of 2021
S 3321,"A bill to designate the facility of the United States Postal Service located at 317 Blattner Drive in Avon, Minnesota, as the ""W.O.C. Kort Miller Plantenberg Post Office""."
S 2094,Physician Shortage GME Cap Flex Act of 2021
HR 4663,SUCCESS Act
HR 1871,Transportation Security Transparency Improvement Act
S 476,Pandemic Heroes Compensation Act of 2021
S 809,"Monarch Action, Recovery, and Conservation of Habitat Act of 2021"
HR 5835,Defund Federal Vaccine Mandates Act
S 3325,MUSIC Act
