identifier,title
S 199,Secure Data and Privacy for Contact Tracing Act of 2021
S 24,Protecting Personal Health Data Act
SRES 830,"A resolution expressing support for the designation of the week of October 24, 2022, to October 31, 2022, as ""Bat Week""."
HR 6162,Strengthening Protections Against Chinese Printed Circuit Boards Act
HR 6160,Access to Rare Indications Act of 2021
S 982,ICBM Act
HR 4834,Nuclear Power Purchase Agreements Act
HR 4864,Battery Material Processing and Component Manufacturing Act of 2021
S 2917,Federal Big Tech Tort Act
HRES 113,Expressing the sense of the House of Representatives that the United States should formally withdraw from the Paris Agreement.
S 630,Disability Employment Incentive Act
HR 6159,Defund de Blasio’s Injection Sites Act of 2021
S 3888,Government Surveillance Transparency Act of 2022
HR 3375,No Sanctuary for Criminals Act
S 2450,Rural Health Innovation Act of 2021
HR 2200,Housing Accountability Act of 2021
HR 4855,Braeden’s Commission: Protect our Athletes from Exertional Heat Stroke
S 2779,TRIUMPH for New Moms Act of 2021
S 2351,SIMSA Act of 2021
HR 873,Ensuring American Voters Act of 2021
HR 2576,For the 99.5 Percent Act
HR 74,Protecting Local Communities from Harmful Algal Blooms Act
HR 6457,To prohibit the provision of Federal funds to a local educational agency unless in-person instruction is available to all students at the schools served by the agency.
HR 6077,"To authorize the National Cyber Director to accept details from other elements of the Federal Government on nonreimbursable basis, and for other purposes."
HRES 781,"Expressing support for the designation of the week beginning on November 8, 2021, as ""National School Psychology Week""."
S 360,21st Century Space Grant Modernization Act of 2021
HR 6163,Study on Improving Lands Act
HR 6148,Alabama Underwater Forest National Marine Sanctuary and Protection Act
S 2459,HANGARS Act
HR 4813,Matt’s Act
HR 5855,North Dakota Trust Lands Completion Act
S 2435,"Modern, Clean, and Safe Trucks Act of 2021"
S 2456,Broadcast VOICES Act
HR 4031,Retain Skilled Veterans Act
HR 6156,To express the sense of Congress on interoperability with Taiwan.
HR 5873,Improving Part-Time Workers Access to Retirement Act of 2021
HR 6198,Continued Support for Afghan Allies Act
S 2455,Tax-Free Pell Grant Act
S 2465,American Opportunity Tax Credit Enhancement Act of 2021
HR 6166,District of Columbia Transportation Funding Equality Act
HR 4623,Commonsense Coordination Act
HR 4628,Veterans Health Care Stamp Act
HR 5876,Supporting Affordable and Reliable Energy in Developing Countries Act of 2021
HR 5881,Transparency in Cybersecurity Initiatives for Small Contractors Act of 2021
SRES 468,"A resolution permitting the collection of clothing, toys, food, and housewares during the holiday season for charitable purposes in Senate buildings."
HR 4655,American Workforce Investment in Next Generation of Students Act
HR 5886,Safeguarding the Supply Chain Act
HR 5857,Comprehensive TB Elimination Act of 2021
S 2419,Wildfire Smoke Emergency Declaration Act of 2021
HR 4656,Extending Tribal Broadband Priority Act of 2021
HR 4659,BROWSER Act of 2021
HR 5863,End Palm Oil Deforestation Act
HR 5808,New Parents Act of 2021
HR 4666,Public Service Loan Forgiveness Modernization Act
HR 4676,State Industrial Competitiveness Act of 2021
HR 4662,National Supply Chain Database Act of 2021
S 3179,"Financial Services and General Government Appropriations Act, 2022"
HR 5858,Rachel Booth Act
S 3868,U.S. Customs and Border Protection Officer Retirement Technical Corrections Act
S 3308,Colorado River Indian Tribes Water Resiliency Act of 2022
HR 5626,SAFE Biomedical Research Act
HR 7568,District of Columbia Courts and Public Defender Service Employment Non-Discrimination Act
HR 8072,LOVE Act of 2022
S 4448,Suicide Prevention Act
S 5104,NACIE Improvement Act
S 5103,Recruit and Retain Act
HR 8160,Political BIAS Emails Act of 2022
SRES 695,"A resolution designating June as ""National Annuity Awareness Month""."
HRES 843,"Affirming the historical connection of the Jewish people to the ancient and sacred city of Jerusalem and condemning efforts at the United Nations Educational, Scientific, and Cultural Organization (UNESCO) to deny Judaism's millennia-old historical, religious, and cultural ties to Jerusalem."
HR 4576,Support Through Loss Act
HR 8192,Ensuring Safer Schools Act of 2022
S 4498,Kids’ Mental Health Improvement Act
HR 7021,Landowner Easement Rights Act
S 4486,Health Equity and Accountability Act of 2022
S 1927,CAPTA Reauthorization Act of 2021
HR 9321,Independent Drug Value Assessment Act
HR 6197,Streamline DoD Cyber Recruitment Act
S 777,End Taxpayer Funding of Gender Experimentation Act of 2021
HR 8560,Will to Fight Act of 2022
HR 9311,Community Advantage Loan Program Permanency Act of 2022
HR 4384,Securing America’s Elections Act of 2021
S 1890,Protecting Consumers from Travel Fraud Act
HR 6844,Restoring Trust in Public Servants Act
S 1275,Family Violence Prevention and Services Improvement Act of 2021
SRES 475,"A resolution recognizing the 73rd anniversary of the Universal Declaration of Human Rights and the celebration of ""Human Rights Day""."
HR 4420,United States Commitment to Peacekeeping Act of 2021
HR 5161,Expanding Small Employer Pooling Options for Paid Family Leave Act of 2021
HR 8208,CLIMB Act of 2022
HR 6177,Protecting Ballot Measures From Foreign Influence Act
HR 8202,Preventing Vape Use Act
HR 8211,"To require the return of amounts loaned under the Paycheck Protection Program of the Small Business Administration used for illegal activities, and for other purposes."
HR 2145,SASCA
SRES 295,"A resolution designating June 15, 2021, as ""World Elder Abuse Awareness Day"" and the month of June as ""Elder Abuse Awareness Month""."
S 4260,Palliative Care and Hospice Education and Training Act
S 4083,Clean Energy Minerals Reform Act of 2022
S 3347,Masih Alinejad HUNT Act of 2021
HR 2914,Improving Mental Health Access for Students Act
HR 6174,Military FATIGUES Act of 2021
HR 6187,Coal Council Certainty Act of 2021
HRES 976,Commemorating the celebration of Purim by the Jewish community of the United States.
HR 492,Supporting Veteran Families in Need Act
HR 7056,Visa Transparency Anti-Trafficking Act of 2021
S 4497,Payment Choice Act of 2022
HRES 1197,Electing Members to certain standing committees of the House of Representatives.
HR 1869,Technical Correction to the Shoshone-Paiute Tribes of the Duck Valley Reservation Water Rights Settlement Act of 2021
S 4490,Digital Citizenship and Media Literacy Act
S 4472,Health Care Capacity for Pediatric Mental Health Act of 2022
HR 6189,Unlocking Opportunities in Emerging Markets Act of 2021
HR 5917,Department of Veterans Affairs Construction Management Improvement Act of 2021
S 4459,Student Debt Relief and College Affordability Act
HR 6293,High School Voter Empowerment Act of 2021
S 4446,Modernizing the Accelerated Approval Pathway Act of 2022
S 4481,INsulin For Our Recurring Medical Needs Act
S 4470,Montana Sportsmen Conservation Act
S 3342,Colorado Judgeship Act
S 4087,INFORM Act
HR 7057,Unmasking of Americans Act of 2022
HRES 977,"Commemorating the life and legacy of Jean-Louis de Kérouac on the centennial of his birth on March 12, 2022."
HR 5866,Protection of Social Security Benefits Restoration Act
S 2329,BEST for Vets Act of 2021
HR 6287,Homeless Children and Youth Act of 2021
HR 7071,Expand Education Deduction for Teachers Act
HRES 191,To amend H. Res. 8 to eliminate remote voting by proxy and remote committee activity.
S 1586,Restoring the Armed Career Criminal Act
HR 917,Kangaroo Protection Act of 2021
S 4493,Veterans Online Information and Cybersecurity Empowerment Act of 2022
HR 2897,Improving Training for School Food Service Workers Act
S 4475,Manufactured Housing Community Sustainability Act of 2022
HR 6183,Religious Exemptions for Social Security and Healthcare Taxes Act
HRES 1317,"Expressing support for the designation of November 20, 2022, through December 20, 2022, as ""National Survivors of Homicide Victims Awareness Month""."
S 3228,Creating Early Childhood Leaders Act
S 3339,Capping Prescription Costs Act of 2021
S 3169,Keep Food Containers Safe from PFAS Act of 2021
HR 2968,Military and Veteran Caregiver Student Loan Relief Act of 2021
HR 6193,Alternative Protein Pilot Act
S 4474,Prohibiting Federal Emergencies for Abortion Act
HR 2977,CAN Act
S 3337,Native Youth and Tribal Officer Protection Act
HRES 571,Recognizing the duty of the Federal Government to create a Green Real Deal.
S 3343,Bivens Act of 2021
HR 8172,Improving Diagnosis in Medicine Act of 2022
S 4487,Election Mail Act
SRES 696,A resolution recognizing the American people's commitment to rebuilding Ukraine.
S 4461,Expanding Access to Mental Health Training Act
S 4482,Coordinating Substance Use and Homelessness Care Act of 2022
S 48,Balanced Budget Accountability Act
HR 4401,Protecting Seniors from Health Care Fraud Act of 2021
HR 2986,End Speculative Oil and Gas Leasing Act of 2021
HR 2987,Teacher Loan Forgiveness Improvement Act of 2021
HR 2982,National Guard Cybersecurity Support Act
HR 2966,Military Spouses Employment Act
HR 2990,Gig Worker Equity Compensation Act
S 4920,Election Worker Protection Act of 2022
S 5108,Housing for Homeless Students Act of 2022
HR 4412,"To amend the Public Health Service Act to reauthorize Johanna's Law, and for other purposes."
S 4480,Fairness for Farm Workers Act
HRES 370,Expressing the sense of the House of Representatives supporting the Federal workforce.
HRES 562,"Supporting the designation of August 24, 2021, as ""Kobe Bryant Day""."
HR 8175,Stop Pills That Kill Act
HR 4441,Travel Mask Mandate Repeal Act of 2021
HR 5909,To authorize the President to award the Medal of Honor to E. Royce Williams for acts of valor during the Korean War.
HR 166,Fair Lending for All Act
HR 8170,Empower Parents to Protect Their Kids Act of 2022
S 4458,Ensuring the Best Schools for Veterans Act of 2022
S 4479,Magnet Injury Prevention Act
HR 4802,Feeding Hungry Students in Schools Act of 2021
HR 5151,Col. James Floyd Turner IV U.S.M.C. GI Bill Transfer Act of 2021
S 4476,SSBCI Improvement Act
S 4495,Protecting Americans' Data From Foreign Surveillance Act of 2022
HR 1647,TREATS Act
S 4496,Las Vegas Wash Program Extension Act
HR 8193,Ensuring Children Receive Support Act
S 4489,Grandfamilies Act of 2022
HR 8177,Access to Foster Care to 21 Act
HR 8180,"Undertaking Needed Investments in Therapy, Education, and De-Escalation Act of 2022"
S 4483,Debt Cancellation Accountability Act of 2022
HR 5766,Helicopter Data and Voice Recorder Requirement Act
SRES 320,A resolution authorizing the taking of a photograph in the Senate Chamber.
S 2474,American Telecommunications Security Act
HR 8179,Securing Facilities for Mental Health Services Act
S 4467,Protecting Access to Medication Abortion Act
S 2349,Protecting Consumers from Unreasonable Credit Rates Act of 2021
HRES 574,Recognizing the 75th anniversary of the Fulbright Program.
HR 1851,St. Mary's Reinvestment Act
HR 6230,USA Batteries Act
HCONRES 63,"Permitting the remains of the late Honorable Robert Joseph Dole, formerly a Senator and a Representative from the State of Kansas, to lie in honor in the rotunda of the Capitol, and for other purposes."
HR 6227,Military Dependents School Meal Eligibility Act of 2021
S 3355,DEEP Act
HR 6294,Bree’s Law
S 3351,Coastal Fellowships Act
HR 5699,SAVE Act
HR 8181,Optimizing Postpartum Outcomes Act of 2022
S 4469,SAD Act
S 2032,Afghan Allies Protection Act of 2021
S 3367,Port Modernization and Supply Chain Protection Act
S 4492,Federal PFAS Research Evaluation Act
HR 7562,BAH Calculation Improvement Act
HR 7233,KIDS CARE Act
HR 6224,Fix the Unemployment Backlogs Act
HR 6210,Oversight of Independent Review Commission Recommendations Act
SRES 471,A resolution commemorating the 100th anniversary of the Alabama Farmers Federation and celebrating the long history of the Alabama Farmers Federation serving as the voice for Alabama agriculture and forestry.
HR 3161,Flood Mapping Modernization and Homeowner Empowerment Pilot Program Act of 2021
HR 5290,To extend authorization for livestock mandatory reporting.
HR 6506,St. Lawrence River and Great Lakes Waterways Protection Act
HR 4251,Native Behavioral Health Access Improvement Act of 2021
S 4462,RESPONSE Act of 2022
HR 6214,Elementary and Secondary School Counseling Act
HR 6236,FAIRNESS in Flood Insurance Act of 2021
HR 6233,Liberian Refugee Fairness Extension Act
HR 4555,Oral Health Literacy and Awareness Act of 2021
S 3374,COPS Reauthorization Act of 2021
HR 797,"To designate the facility of the United States Postal Service located at 24930 Washington Avenue in Murrieta, California, as the ""Riverside County Iraq and Afghanistan Veterans Memorial Post Office""."
HR 4688,Federal Agency Customer Experience Act of 2021
S 3371,Land and Water Conservation Fund Amendments Act of 2021
HJRES 55,Prince Jonah Kūhiō Kalaniana‘ole Protecting Family Legacies Act
HR 5847,SANTA 18 Act
HR 5862,"To amend title 10, United States Code, to codify and expand the authority for joint task forces of the Department of Defense to support law enforcement agencies conducting counter-terrorism, counter-illicit trafficking, or counter-transnational organized crime activities, and for other purposes."
HR 4795,NFFSN Act
HR 4825,21st Century Broad­band Deployment Act
